"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSMUSG00000018340",626.491643153686,3.18954835889036,0.151212696090392,21.093125387988,9.19795573527778e-99,1.7368499814925e-94,"Anxa6"
"ENSMUSG00000019893",2301.90106521659,3.6462001421355,0.204147492397006,17.8606168477677,2.38983532295905e-71,2.25636302017179e-67,"Ros1"
"ENSMUSG00000031465",650.455223177473,-2.4425027240758,0.146043883187038,-16.7244438505357,8.69843682078785e-63,5.4750860828979e-59,"Angpt2"
"ENSMUSG00000035165",7753.8740219236,-2.28325463289593,0.142349116267517,-16.0398230264037,6.73459921270824e-58,3.17923592333924e-54,"Kcne3"
"ENSMUSG00000036264",257.358083126078,-3.61119906301206,0.262592152303998,-13.7521210414219,4.94579896613919e-43,1.86783043755213e-39,"Fstl4"
"ENSMUSG00000041577",2607.54797381671,-3.07651179805179,0.224910726417296,-13.6788131320322,1.35892669795521e-42,4.27676880624804e-39,"Prelp"
"ENSMUSG00000022026",296419.243758794,-1.64170290530584,0.124001148410241,-13.2394169437406,5.19505614273473e-40,1.22622806429075e-36,"Olfm4"
"ENSMUSG00000056220",2960.02085739882,-1.57872779375463,0.119165378847422,-13.2482085738679,4.62102370304739e-40,1.22622806429075e-36,"Pla2g4a"
"ENSMUSG00000070304",2820.25135563606,-2.21667385340655,0.168956406330507,-13.1197975948327,2.53611381556483e-39,5.32104857547896e-36,"Scn2b"
"ENSMUSG00000068417",493.436508268255,-3.38184416472766,0.260448299583825,-12.9847043353002,1.49414051522022e-38,2.82138553489035e-35,"Pnp2"
"ENSMUSG00000020333",470.511760909657,3.78851760095368,0.308141750877997,12.2947234192022,9.66871338521775e-35,1.65976649866424e-31,"Acsl6"
"ENSMUSG00000087150",1384.91061011983,3.03649613219209,0.247242775941588,12.281435203225,1.139585189369e-34,1.79323226090457e-31,"BC064078"
"ENSMUSG00000037542",122.480450023147,3.76257570662336,0.308117737697355,12.211486864541,2.69910953609066e-34,3.92056041307691e-31,"Aldh8a1"
"ENSMUSG00000027340",5320.77679729033,2.30826503358457,0.190324972382125,12.1280198005238,7.50421190435937e-34,1.01215738135727e-30,"Slc23a2"
"ENSMUSG00000030409",1972.34352111028,-2.22185080443247,0.184112085025523,-12.0679248411339,1.56019093878328e-33,1.96407236646965e-30,"Dmpk"
"ENSMUSG00000022096",1979.99104959632,-1.83988401984078,0.155157002079091,-11.8582081065404,1.95105895431568e-32,2.30261538964644e-29,"Hr"
"ENSMUSG00000027716",75.3684958662477,5.27071935940164,0.446466205598824,11.8054161620861,3.65975768316954e-32,4.0651296665465e-29,"Trpc3"
"ENSMUSG00000030223",503.742474851018,-1.84416691497673,0.156386920506821,-11.7923347361795,4.27522345032854e-32,4.48494691180855e-29,"Ptpro"
"ENSMUSG00000059654",34933.8357026176,4.39389125875331,0.373000918766586,11.7798403105352,4.95869262817702e-32,4.92815752094035e-29,"Reg1"
"ENSMUSG00000032841",187.812854266323,4.13861568827659,0.35726377874609,11.5842017424832,4.95561530880165e-31,4.67884419380508e-28,"Prr5l"
"ENSMUSG00000029369",352.850411120252,3.51164083689141,0.30587362471531,11.4806918712257,1.64955203595852e-30,1.48326148071451e-27,"Afm"
"ENSMUSG00000022816",818.249013323862,-2.15730489200711,0.188792890761285,-11.4268333055764,3.07105192967379e-30,2.63593970854683e-27,"Fstl1"
"ENSMUSG00000020062",1635.47360149985,2.91986978990366,0.255838682222577,11.4129331989109,3.603685033716e-30,2.95862541268084e-27,"Slc5a8"
"ENSMUSG00000040808",3488.724146281,3.44334349180309,0.30488530087286,11.2938980067097,1.40657232332161e-29,1.10667938255341e-26,"S100g"
"ENSMUSG00000022265",2912.04689839493,1.6721049508238,0.148977909255555,11.2238449255956,3.11429234519512e-29,2.35228729417278e-26,"Ank"
"ENSMUSG00000038233",90.1338560458016,3.16319579008476,0.285013128478676,11.0984213498131,1.27679131459731e-28,9.27294245905424e-26,"Fam198a"
"ENSMUSG00000079174",2246.29031547852,1.98328602394259,0.17972094001864,11.0353641803614,2.58004142176772e-28,1.80440452471258e-25,"Gm3054"
"ENSMUSG00000025993",1845.02036487922,2.50607158368745,0.229119171100091,10.9378519992667,7.59786933832371e-28,5.09687188219851e-25,"Slc40a1"
"ENSMUSG00000026430",1268.94312323081,-1.96640061591133,0.179874421924563,-10.9320746933992,8.09755634517583e-28,5.09687188219851e-25,"Rassf5"
"ENSMUSG00000029093",2081.18995742698,-2.4855100917515,0.227302967368542,-10.9347894597503,7.85881874133101e-28,5.09687188219851e-25,"Sorcs2"
"ENSMUSG00000009248",1340.86962329719,-1.95135434902242,0.181156243963913,-10.7716648696422,4.68452613311822e-27,2.85348087005391e-24,"Ascl2"
